Year,Host_City,Host_Country,Total_Males,Total_Females,Total_Athletes,Summer,Winter,Discipline,Sport,Ath_Name,Gender,NOC,Home_Adv,Gold,Silver,Bronze,Total_Medals,NOC_Gold,NOC_Silver,NOC_Bronze,NOC_Total_Medals,NOC_Rating,NOC_Rank
1960,Rome,ITA,4727,611,5338,True,False,Wrestling Freestyle,Wrestling,"SAIFPOUR-SAIDABADI, Mohammad Ebrahim",Men,IRI,False,0,0,1,1,0,1,3,4,5,22
1960,Rome,ITA,4727,611,5338,True,False,Weightlifting,Weightlifting,"WAHID AZIZ, Abdul",Men,IRQ,False,0,0,1,1,0,0,1,1,1,42
1960,Rome,ITA,4727,611,5338,True,False,Fencing,Fencing,"CAMBER, Irene",Women,ITA,True,0,0,1,1,15,11,18,44,85,4
1960,Rome,ITA,4727,611,5338,True,False,Athletics,Athletics,"LEONE, Giuseppina",Women,ITA,True,0,0,1,1,15,11,18,44,85,4
1960,Rome,ITA,4727,611,5338,True,False,Fencing,Fencing,"DELFINO, Giuseppe",Men,ITA,True,2,0,0,2,15,11,18,44,85,4
1960,Rome,ITA,4727,611,5338,True,False,Fencing,Fencing,"MANGIAROTTI, Edoardo",Men,ITA,True,1,1,0,2,15,11,18,44,85,4
1960,Rome,ITA,4727,611,5338,True,False,Water Polo,Aquatics,"AMBRON, Amedeo",Men,ITA,True,1,0,0,1,15,11,18,44,85,4
1960,Rome,ITA,4727,611,5338,True,False,Fencing,Fencing,"CALARESE, Wladimiro",Men,ITA,True,0,0,2,2,15,11,18,44,85,4
1960,Rome,ITA,4727,611,5338,True,False,Fencing,Fencing,"CALANCHINI, Giampaolo",Men,ITA,True,0,0,1,1,15,11,18,44,85,4
1960,Rome,ITA,4727,611,5338,True,False,Gymnastics Artistic,Gymnastics,"CARMINUCCI, Giovanni",Men,ITA,True,0,1,1,2,15,11,18,44,85,4
1960,Rome,ITA,4727,611,5338,True,False,Cycling Road,Cycling,"TRAPE, Livio",Men,ITA,True,1,1,0,2,15,11,18,44,85,4
1960,Rome,ITA,4727,611,5338,True,False,Fencing,Fencing,"AUREGGI, Aldo",Men,ITA,True,0,1,0,1,15,11,18,44,85,4
1960,Rome,ITA,4727,611,5338,True,False,Gymnastics Artistic,Gymnastics,"MENICHELLI, Franco",Men,ITA,True,0,0,2,2,15,11,18,44,85,4
1960,Rome,ITA,4727,611,5338,True,False,Sailing,Sailing,"CICILIANO, Antonio",Men,ITA,True,0,0,1,1,15,11,18,44,85,4
1960,Rome,ITA,4727,611,5338,True,False,Rowing,Rowing,"BARAGLIA, Tullio",Men,ITA,True,0,1,0,1,15,11,18,44,85,4
1960,Rome,ITA,4727,611,5338,True,False,Shooting,Shooting,"ROSSINI, Galliano",Men,ITA,True,0,1,0,1,15,11,18,44,85,4
1960,Rome,ITA,4727,611,5338,True,False,Cycling Road,Cycling,"BAILETTI, Antonio",Men,ITA,True,1,0,0,1,15,11,18,44,85,4
1960,Rome,ITA,4727,611,5338,True,False,Gymnastics Artistic,Gymnastics,"CARMINUCCI, Pasquale",Men,ITA,True,0,0,1,1,15,11,18,44,85,4
1960,Rome,ITA,4727,611,5338,True,False,Cycling Track,Cycling,"ARIENTI, Luigi",Men,ITA,True,1,0,0,1,15,11,18,44,85,4
