Year,Host_City,Host_Country,Summer,Winter,Discipline,Sport,Event,Ath_Name,Gender,NOC,Home_Adv,Medal,Gold,Silver,Bronze,Total_Medals,Age
2004,Athens,GRC,True,False,Swimming,Aquatics,100m freestyle,"THORPE, Ian",Men,AUS,False,Bronze,2,1,1,4,22.0
2004,Athens,GRC,True,False,Swimming,Aquatics,100m freestyle,"VAN DEN HOOGENBAND, Pieter",Men,NED,False,Gold,1,2,0,3,26.0
2004,Athens,GRC,True,False,Swimming,Aquatics,100m butterfly,"CROCKER, Ian",Men,USA,False,Silver,1,1,1,3,22.0
2004,Athens,GRC,True,False,Swimming,Aquatics,100m butterfly,"PHELPS, Michael",Men,USA,False,Gold,6,0,2,8,19.0
2004,Athens,GRC,True,False,Swimming,Aquatics,100m butterfly,"SERDINOV, Andriy",Men,UKR,False,Bronze,0,0,1,1,22.0
2004,Athens,GRC,True,False,Swimming,Aquatics,100m breaststroke,"DUBOSCQ, Hugues",Men,FRA,False,Bronze,0,0,1,1,23.0
2004,Athens,GRC,True,False,Swimming,Aquatics,100m breaststroke,"HANSEN, Brendan",Men,USA,False,Silver,1,1,1,3,23.0
2004,Athens,GRC,True,False,Swimming,Aquatics,100m breaststroke,"KITAJIMA, Kosuke",Men,JPN,False,Gold,2,0,1,3,22.0
2004,Athens,GRC,True,False,Swimming,Aquatics,100m backstroke,"MORITA, Tomomi",Men,JPN,False,Bronze,0,0,2,2,20.0
2004,Athens,GRC,True,False,Swimming,Aquatics,100m backstroke,"ROGAN, Markus",Men,AUT,False,Silver,0,2,0,2,22.0
2004,Athens,GRC,True,False,Athletics,Athletics,100m,"GATLIN, Justin",Men,USA,False,Gold,1,1,1,3,22.0
2004,Athens,GRC,True,False,Athletics,Athletics,100m,"GREENE, Maurice",Men,USA,False,Bronze,0,1,1,2,30.0
2004,Athens,GRC,True,False,Athletics,Athletics,100m,"OBIKWELU, Francis",Men,POR,False,Silver,0,1,0,1,26.0
2004,Athens,GRC,True,False,Athletics,Athletics,10000m,"BEKELE, Kenenisa",Men,ETH,False,Gold,1,1,0,2,22.0
2004,Athens,GRC,True,False,Athletics,Athletics,10000m,"TADESE, Zersenay",Men,ERI,False,Bronze,0,0,1,1,22.0
2004,Athens,GRC,True,False,Weightlifting,Weightlifting,-56kg,"ARTUC, Sedat",Men,TUR,False,Bronze,0,0,1,1,28.0
2004,Athens,GRC,True,False,Weightlifting,Weightlifting,-56kg,"MUTLU, Halil",Men,TUR,False,Gold,1,0,0,1,31.0
2004,Athens,GRC,True,False,Weightlifting,Weightlifting,-56kg,"WU, Meijin",Men,CHN,False,Silver,0,1,0,1,24.0
2004,Athens,GRC,True,False,Boxing,Boxing,-48kg,"BHARTELEMY VARELA, Yan",Men,CUB,False,Gold,1,0,0,1,24.0
2004,Athens,GRC,True,False,Boxing,Boxing,-48kg,"KAZAKOV, Sergey",Men,RUS,False,Bronze,0,0,1,1,28.0
2004,Athens,GRC,True,False,Boxing,Boxing,-48kg,"YALCINKAYA, Atagun",Men,TUR,False,Silver,0,1,0,1,18.0
2004,Athens,GRC,True,False,Boxing,Boxing,-48kg,"ZOU, Shiming",Men,CHN,False,Bronze,0,0,1,1,23.0
2004,Athens,GRC,True,False,Judo,Judo,- 60 kg,"CHOI, Min Ho",Men,KOR,False,Bronze,0,0,1,1,24.0
2004,Athens,GRC,True,False,Judo,Judo,- 60 kg,"KHERGIANI, Nestor",Men,GEO,False,Silver,0,1,0,1,29.0
