Country,Host_City,Year,Education_Index,Gold,Silver,Bronze,Total_Medals,Ath_Rating,Gold_Share,Medal_Share,Rating_Share,norm_Gold_Share,norm_Medal_Share,norm_Rating_Share
Dominican Republic,Athens,2004,0.5686600035999999,1,0,0,1,3,0.001519756838905775,0.0005015045135406219,0.0007560483870967742,0.00326191711765142,3.5150271429730255e-05,0.0014942234576040005
Dominican Republic,Beijing,2008,0.582725567,1,1,0,2,5,0.0015015015015015015,0.000980872976949485,0.001238850346878097,0.0032227349300520034,0.001557547582908496,0.0029135521767924685
Dominican Republic,London,2012,0.5901705420000001,1,1,0,2,5,0.0015772870662460567,0.00102880658436214,0.0013003901170351106,0.0033853966299915365,0.001709777027740088,0.003094465202074446
Dominican Republic,Los Angeles,1984,0.4405017174000001,0,0,1,1,1,0.0,0.0006784260515603799,0.0003399048266485384,0.0,0.0005970246840863635,0.00027085537741425563
Ecuador,Atlanta,1996,0.5460058888000001,1,0,0,1,3,0.0016260162601626016,0.0005385029617662897,0.0008116883116883117,0.0034899861193733893,0.00015265140554084332,0.0016577922694249356
Ecuador,Beijing,2008,0.5894908329999999,0,1,0,1,2,0.0,0.0004904364884747426,0.0004955401387512388,0.0,0.0,0.0007283880441981171
"Egypt, Arab Rep.",Athens,2004,0.5173755554,1,1,3,5,8,0.001519756838905775,0.0025075225677031092,0.0020161290322580645,0.00326191711765142,0.006405941688782635,0.00519857596060753
"Egypt, Arab Rep.",Beijing,2008,0.5528222220000001,0,0,1,1,1,0.0,0.0004904364884747426,0.0002477700693756194,0.0,0.0,0.0
"Egypt, Arab Rep.",London,2012,0.5734444439999999,0,3,1,4,7,0.0,0.00205761316872428,0.0018205461638491547,0.0,0.004977101638388672,0.004623606500583471
"Egypt, Arab Rep.",Los Angeles,1984,0.3347955552,0,1,0,1,2,0.0,0.0006784260515603799,0.0006798096532970768,0.0,0.0005970246840863635,0.0012700987990266284
Estonia,Athens,2004,0.8456399997999999,0,1,2,3,4,0.0,0.0015045135406218655,0.0010080645161290322,0.0,0.003220545980106183,0.002235093958204706
Estonia,Barcelone,1992,0.6863955556,1,0,2,3,5,0.0017793594306049821,0.0017523364485981308,0.0014749262536873156,0.0038191129242253277,0.00400759176560276,0.0036075620242142737
